==================================================
Flight started: 2026-08-25 14:26:20
==================================================
14:26:22 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.50m
14:26:22 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.50m
14:26:22 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.49m
14:26:22 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.49m
14:26:22 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.49m
14:26:22 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.49m
14:26:22 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.49m
14:26:22 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.49m
14:26:22 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.49m
14:26:22 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.49m
14:26:22 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.49m
14:26:22 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.49m
14:26:22 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.49m
14:26:22 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.48m
14:26:22 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.48m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.48m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.48m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.48m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.48m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.48m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.48m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.47m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.47m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.47m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.47m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.47m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.47m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.47m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.47m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.47m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.47m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.47m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.47m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.47m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.47m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.46m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.46m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.46m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.46m
14:26:23 [POS] Lat: 47.397973, Lon: 8.546163, Alt: -0.46m
